Negative,@stellargirl I loooooooovvvvvveee my Kindle2. Not that the DX is cool, but the 2 is fantastic in its own right.
Neutral,Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell
Positive,Blink by malcolm gladwell amazing book and The tipping point!
Positive,Malcolm Gladwell might be my new man crush
Positive,omg. The commercials alone on ESPN are going to drive me nuts.
Positive,@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.
Neutral,playing with cURL and the Twitter API
Positive,Hello Twitter API ;)
Neutral,playing with Java and the Twitter API
Negative,@morind45 Because the twitter api is slow and most client's aren't good.
Neutral,yahoo answers can be a butt sometimes
Positive,is scrapbooking with Nic =D
Neutral,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR
Positive,just changed my default pic to a Nike basketball cause bball is awesome!!!!!
Neutral,Nike owns NBA Playoffs ads w/ LeBron, Kobe, Carmelo? http://ow.ly/7Uiy  #Adidas #Billups #Howard  #Marketing #Branding
Neutral,'Next time, I'll call myself Nike'
Neutral,New blog post: Nike SB Dunk Low Premium 'White Gum' http://tr.im/lOtT
Negative,RT @SmartChickPDX: Was just told that Nike layoffs started today :-(
Positive,Back when I worked for Nike we had one fav word : JUST DO IT! :)
Neutral,By the way, I'm totally inspired by this freaky Nike commercial: http://snurl.com/icgj9
Neutral,giving weka an app engine interface, using the bird strike data for the tests, the logo is a given.
Neutral,Brand New Canon EOS 50D 15MP DSLR Camera Canon 17-85mm IS Lens ...: Web Technology Thread, Brand New Canon EOS 5.. http://u.mavrev.com/5a3t
Positive,Class... The 50d is supposed to come today :)
Negative,needs someone to explain lambda calculus to him! :(
Negative,Took the Graduate Field Exam for Computer Science today.  Nothing makes you feel like more of an idiot than lambda calculus.
Positive,SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA! ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA......
Negative,@legalgeekery Yeahhhhhhhhh, I wouldn't really have lived in East Palo Alto if I could have avoided it.  I guess it's only for the summer.
Positive,@accannis @edog1203 Great Stanford course. Thanks for making it available to the public! Really helpful and informative for starting off!
Neutral,NVIDIA Names Stanford's Bill Dally Chief Scientist, VP Of Research http://bit.ly/Fvvg9
Neutral,New blog post: Harvard Versus Stanford - Who Wins? http://bit.ly/MCoCo
Neutral,@ work til 6pm... lets go lakers!!!
Neutral,Damn you North Korea. http://bit.ly/KtMeQ
Neutral,Can we just go ahead and blow North Korea off the map already?
Negative,North Korea, please cease this douchebaggery. China doesn't even like you anymore. http://bit.ly/NeHSl
Negative,Why the hell is Pelosi in freakin China? and on whose dime?
Neutral,Are YOU burning more cash $$$ than Chrysler and GM? Stop the financial tsunami. Where "bailout" means taking a handout!
Negative,insects have infected my spinach plant :(
Negative,wish i could catch every mosquito in the world n burn em slowly.they been bitin the shit outta me 2day.mosquitos are the assholes of insects
Negative,just got back from church, and I totally hate insects.
Negative,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it
Positive,omgg i ohhdee want mcdonalds damn i wonder if its open lol =]
Neutral,History exam studying ugh
Negative,I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good...
Negative,Higher physics exam tommorow, not lookin forward to it much :(
Negative,It's a bank holiday, yet I'm only out of work now. Exam season sucks:(
Neutral,Cheney and Bush are the real culprits - http://fwix.com/article/939496
Negative,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ
Neutral,Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg
Negative,"The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump." -- Neal Boortz (just now, on the radio)
Negative,is Twitter's connections API broken? Some tweets didn't make it to Twitter...
Negative,i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :(
Positive,@psychemedia I really liked @kswedberg's "Learning jQuery" book. http://bit.ly/pg0lT is worth a look too
Neutral,jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631
Positive,Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT
Positive,Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!
Positive,RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*
Positive,The ever amazing Psyop and Goodby Silverstein &amp; Partners for HP! http://bit.ly/g2rU8 Have to go play with After Effects now!
Positive,top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp; Kennedy http://bit.ly/nR1n9
Positive,zomg!!! I have a G2!!!!!!!
Neutral,Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl
Neutral,just got a free G2 android at google i/o!!!
Neutral,Guess I'll be retiring my G1 and start using my developer G2 woot #googleio
Neutral,At GWT fireside chat @googleio
Positive,I am happy for Philip being at GoogleIO today
Positive,Lakers played great!  Cannot wait for Thursday night Lakers vs. ???
Positive,Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8
Positive,Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK
Neutral,Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz
Negative,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!
Neutral,watching Night at The Museum . Lmao
Positive,i loved night at the museum!!!
Neutral,going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin
Positive,just got back from the movies.  went to see the new night at the museum with rachel.  it was good
Neutral,Just saw the new Night at the Museum movie...it was...okay...lol 7\10
Neutral,Going to see night at the museum 2 with tall boy
Positive,@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good
Positive,no watching The Night At The Museum. Getting Really Good
Positive,Night at the Museum, Wolverine and junk food - perfect monday!
Positive,saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!
Neutral,I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.
Neutral,Taking Katie to see Night at the Museum.  (she picked it)
Negative,Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL
Neutral,GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv
Negative,It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable
Positive,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.
Positive,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha
Neutral,Time Warner cable is down again 3rd time since Memorial Day bummer!
Negative,I would rather pay reasonable yearly taxes for "free" fast internet, than get gouged by Time Warner for a slow connection.
Negative,NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner
Negative,F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp; my damn HD channels hardly ever come in. Bullshit!!
Negative,time warner has the worse customer service ever. I will never use them again
Negative,Time warner is the devil. Worst possible time for the Internet to go out.
Negative,Fuck no internet damn time warner!
Negative,time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff.
Negative,I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.
Positive,Ahh...got rid of stupid time warner today &amp; now taking a nap while the roomies cook for me. Pretty good end for a monday :)
Neutral,Time Warner's HD line up is crap.
Negative,is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!
Neutral,Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk)
Neutral,Time Warner Cable slogan: Where calling it a day at 2pm Happens.
Neutral,Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3
Neutral,Climate focus turns to Beijing: The United Nations, the US and European governments have called on China to co-o.. http://tinyurl.com/lto92n
Neutral,myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba
Neutral,Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv
Neutral,http://xi.gs/04FO GM CEO: China will continue to be key partner
Neutral,RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu
Negative,Recovering from surgery..wishing @julesrenner was here :(
Negative,My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!
Positive,Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?
Negative,THE DENTIST LIED! " U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!
Positive,@kirstiealley my dentist is great but she's expensive...=(
Neutral,@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml
Positive,is studing math ;) tomorrow exam and dentist :)
Negative,my dentist was wrong... WRONG
Negative,Going to the dentist later.:|
Negative,Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?
Neutral,NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx
Neutral,just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR
Neutral,Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday.
Neutral,Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796
Neutral,waiting in line at safeway.
Neutral,luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that?
Negative,Did not realize there is a gym above Safeway!
Neutral,@XPhile1908 I have three words for you: "Safeway dot com"
Positive,Safeway is very rock n roll tonight
Neutral,Bout to hit safeway I gotta eat
Neutral,Jake's going to safeway!
Neutral,Found a safeway. Picking up a few staples.
Neutral,Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w
Negative,The safeway bathroom still smells like ass!
Negative,At safeway on elkhorn, they move like they're dead!
Neutral,Your Normal Weight (and How to Get There) ? Normal Eating Blog http://bit.ly/ZeT8O
Neutral,Is Eating and Watching Movies....
Negative,eating sashimi
Negative,is eating  home made yema
Neutral,eating cake
Positive,i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol.
Negative,Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic
Neutral,iPhone May Get Radio Tagging and Nike  : Recently-released iTunes version 8.2 suggests that VoiceOver functional.. http://tinyurl.com/oq5ctc
Negative,is lovin his Nike  already and that's only from running on the spot in his bedroom
Neutral,Launched! http://imgsearch.net  #imgsearch #ajax #jquery #webapp
Positive,@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations.
Neutral,RT @jquery: The Ultimate jQuery List - http://jquerylist.com/
Neutral,I just extracted and open-sourced a jQuery plugin from Stormweight to highlight text with a regular expression: http://bit.ly/ybJKb
Neutral,@anna_debenham what was the php jquery hack?
Neutral,jQuery Cheat Sheet http://www.javascripttoolbox.com/jquery/cheatsheet/
Neutral,Beginning JavaScript and CSS Development with jQuery #javascript #css #jquery http://bit.ly/TO3e5
Positive,@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style.
Neutral,RT @blknprecious1: RT GREAT @dbroos "Someone's sitting in the shade today because someone planted a tree a long time ago."- Warren Buffet
Neutral,Warren Buffet on the economy http://ping.fm/Lau0p
Neutral,Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune
Neutral,According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet*
Neutral,All-Star Basketball Classic Tuesday Features Top Talent: Chattanooga's Notre Dame High School will play host.. http://bit.ly/qltJA
Positive,@BlondeBroad it's definitely under warranty &amp; my experience is the amazon support for kindle is great! had to contact them about my kindle2
Negative,RT Look, Available !Amazon Kindle2 &amp; Kindle DX, Get it Here: http://short.to/87ub The Top Electronic Book Reader Period, free 2 day ship ...
Negative,Time Warner Road Runner customer support here absolutely blows. I hate not having other high-speed net options. I'm ready to go nuclear.
Negative,Time Warner cable phone reps r dumber than nails!!!!! UGH! Cable was working 10 mins ago now its not WTF!
Positive,@siratomofbones we tried but Time Warner wasn't being nice so we recorded today. :)
Negative,OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp;$*ehfa^V9fhg[*# fml.
Neutral,wth..i have never seen a line this loooong at time warner before, ugh.
Positive,Impatiently awaiting the arrival of the time warner guy. It's way too pretty to be inside all afternoon
Neutral,Man accosts Roger Federer during French Open http://ff.im/3HCPT
Negative,Naive Bayes using EM for Text Classification. Really Frustrating...
Positive,We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there.
Neutral,Investigation pending on death of Stanford CS prof / Google mentor Rajeev Motwani http://bit.ly/LwOUR tip @techmeme
Neutral,I'm going to bed. It was a successful weekend. Stanford, here I come.
Negative,@KarrisFoxy If you're being harassed by calls about your car warranty, changing your number won't fix that. They call every number. #d-bags
Neutral,Just blocked United Blood Services using Google Voice. They call more than those Car Warranty guys.
Negative,#at&amp;t is complete fail.
Negative,@broskiii OH SNAP YOU WORK AT AT&amp;T DON'T YOU
Negative,@Mbjthegreat i really dont want AT&amp;T phone service..they suck when it comes to having a signal
Neutral,I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money. (Apologies to Bob Geldof.)
Negative,pissed about at&amp;t's mid-contract upgrade price for the iPhone (it's $200 more) I'm not going to pay $499 for something I thought was $299
Positive,Safari 4 is fast :) Even on my shitty AT&amp;T tethering.
Negative,@ims What is AT&amp;T fucking up?
Negative,@springsingfiend @dvyers @sethdaggett @jlshack AT&amp;T dropped the ball and isn't supporting crap with the new iPhone 3.0... FAIL #att SUCKS!!!
Positive,@MMBarnhill yay, glad you got the phone! Still, damn you, AT&amp;T.
Neutral,Google Wave Developer Sandbox Account Request http://bit.ly/2NYlc
Neutral,Talk is Cheap: Bing that, I?ll stick with Google. http://bit.ly/XC3C8
Positive,@defsounds WTF is the point of deleting tweets if they can still be found in summize and searches? Twitter, please fix that. Thanks and bye
Negative,@mattcutts have google profiles stopped showing up in searches? cant see them anymore
Positive,@ArunBasilLal I love Google Translator too ! :D Good day mate !
Neutral,reading on my new Kindle2!
Positive,My Kindle2 came and I LOVE it! :)
Positive,LOVING my new Kindle2.  Named her Kendra in case u were wondering. The "cookbook" is THE tool cuz it tells u all the tricks!  Best gift EVR!
Neutral,The real AIG scandal / http://bit.ly/b82Px
Neutral,Any twitter to aprs apps yet?
Positive,45 Pros You Should Be Following on Twitter - http://is.gd/sMbZ
Positive,Obama is quite a good comedian! check out his dinner speech on CNN :) very funny jokes.
Positive,' Barack Obama shows his funny side " &gt;&gt; http://tr.im/l0gY !! Great speech..
Negative,I like this guy : ' Barack Obama shows his funny side " &gt;&gt; http://tr.im/l0gY !!
Positive,Obama's speech was pretty awesome last night! http://bit.ly/IMXUM
Negative,Reading  "Bill Clinton Fail - Obama Win?" http://tinyurl.com/pcyxj7
Neutral,Obama More Popular Than U.S. Among Arabs: Survey: President Barack Obama's popularity in leading Arab countries .. http://tinyurl.com/prlvqu
Positive,Obama's got JOKES!! haha just got to watch a bit of his after dinner speech from last night... i'm in love with mr. president ;)
Negative,LEbron james got in a car accident i guess..just heard it on evening news...wow i cant believe it..will he be ok ? http://twtad.com/69750
Positive,is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals
Positive,@khalid0456 No, Lebron is the best
Positive,@the_real_usher LeBron is cool.  I like his personality...he has good character.
Positive,Watching Lebron highlights. Damn that niggas good
Negative,@Lou911 Lebron is MURDERING shit.
Neutral,@uscsports21 LeBron is a monsta and he is only 24. SMH The world ain't ready.
Positive,@cthagod when Lebron is done in the NBA he will probably be greater than Kobe. Like u said Kobe is good but there alot of 'good' players.
Positive,KOBE IS GOOD BT LEBRON HAS MY VOTE
Positive,Kobe is the best in the world not lebron .
Positive,@asherroth World Cup 2010 Access?? Damn, that's a good look!
Positive,Just bought my tickets for the 2010 FIFA World Cup in South Africa. Its going to be a great summer. http://bit.ly/9GEZI
Neutral,Share: Disruption...Fred Wilson's slides for his talk at Google HQ  http://bit.ly/Bo8PG
Negative,I have to go to Booz Allen Hamilton for a 2hr meeting :(  But then i get to go home :)
Positive,The great Indian tamasha truly will unfold from May 16, the result day for Indian General Election.
Negative,@crlane I have the Kindle2. I've seen pictures of the DX, but haven't seen it in person. I love my Kindle - I'm on it everyday.
Positive,@criticalpath Such an awesome idea - the  continual learning program with a Kindle2  http://bit.ly/1ZLfF
Negative,ok.. do nothing.. just thinking about 40D
Positive,@faithbabywear Ooooh, what model are you getting??? I have the 40D and LOVE LOVE LOVE LOVE it!
Neutral,The Times of India: The wonder that is India's election. http://bit.ly/p7u1H
Positive,http://is.gd/ArUJ Good video from Google on using search options.
Negative,@ambcharlesfield lol. Ah my skin is itchy :( damn lawnmowing.
Negative,itchy back!! dont ya hate it!
Neutral,Stanford Charity Fashion Show a top draw http://cli.gs/NeNuAH
Neutral,Stanford University?s Facebook Profile is One of the Most Popular Official University Pages - http://tinyurl.com/p5b3fl
Positive,Lyx is cool.
Positive,SOOO DISSAPOiNTED THEY SENT DANNY GOKEY HOME... YOU STiLL ROCK ...DANNY ... MY HOMETOWN HERO !! YEAH MiLROCKEE!!
Neutral,RT @PassionModel 'American Idol' fashion: Adam Lambert tones down, Danny Gokey cute ... http://cli.gs/7JWSHV
Positive,@dannygokey I love you DANNY GOKEY!! :)
Neutral,RT @justindavey: RT @tweetmeme GM OnStar now instantly sends accident location coordinates to 911 | GPS Obsessed http://bit.ly/16szL1
Negative,so tired. i didn't sleep well at all last night.
Neutral,Boarding plane for San Francisco in 1 hour; 6 hr flight. Blech.
Neutral,bonjour San Francisco. My back hurts from last night..
Neutral,breakers. in San Francisco, CA http://loopt.us/4v88Bw.t
Neutral,Heading to San Francisco
Positive,With my best girl for a few more hours in San francisco. Mmmmmfamily is wonderful!
Positive,F*** up big, or go home - AIG
Positive,Went to see the Star Trek movie last night.  Very satisfying.
Positive,I can't wait, going to see star trek tonight!!
Positive,Star Trek was as good as everyone said!!
Positive,am loving new malcolm gladwell book - outliers
Positive,I highly recommend Malcolm Gladwell's 'The Tipping Point.' My next audiobook will probably be one of his as well.
Negative,Malcolm Gladwell is a genius at tricking people into not realizing he's a fucking idiot
Negative,@sportsguy33 hey no offense but malcolm gladwell is a pretenious, annoying cunt and he brings you down. cant read his shit
Positive,RT @clashmore: http://bit.ly/SOYv7  Great article by Malcolm Gladwell.
Neutral,I seriously underestimated Malcolm Gladwell.  I want to meet this dude.
Negative,i hate comcast right now. everything is down cable internet &amp; phone....ughh what am i to do
Negative,Comcast sucks.
Positive,The day I never have to deal with Comcast again will rank as one of the best days of my life.
Negative,@Dommm did comcast fail again??
Neutral,How do you use the twitter API?... http://bit.ly/4VBhH
Negative,curses the Twitter API limit
Negative,Now I can see why Dave Winer screams about lack of Twitter API, its limitations and access throttles!
Negative,testing Twitter API
Negative,Arg. Twitter API is making me crazy.
Neutral,Testing Twitter API. Remote Update
Positive,I'm really loving the new search site Wolfram/Alpha. Makes Google seem so ... quaint. http://www72.wolframalpha.com/
Negative,#wolfram Alpha SUCKS! Even for researchers the information provided is less than you can get from #google or #wikipedia, totally useless!
Positive,Off to the NIKE factory!!!
Neutral,New nike muppet commercials are pretty cute. Why do we live together again?
Neutral,New blog post: Nike Zoom LeBron Soldier 3 (III) - White / Black - Teal http://bit.ly/rouUS
Neutral,New blog post: Nike Trainer 1 http://bit.ly/394bp
Negative,@Fraggle312 oh those are awesome! i so wish they weren't owned by nike :(
Positive,@tonyhawk http://twitpic.com/5c7uj - AWESOME!!! Seeing the show Friday at the Shoreline Amphitheatre. Never seen NIN before. Can't wait. ...
Neutral,arhh, It's weka bug. = =" and I spent almost two hours to find that out. crappy me
Positive,@mitzs hey bud :) np I do so love my 50D, although I'd love a 5D mkII more
Positive,@jonduenas @robynlyn just got us a 50D for the office. :D
Positive,Just picked up my new Canon 50D...it's beautiful!!  Prepare for some seriously awesome photography!
Positive,Just got my new toy. Canon 50D. Love love love it!
Positive,Learning about lambda calculus :)
Neutral,#jobs #sittercity Help with taking care of sick child (East Palo Alto, CA) http://tinyurl.com/qwrr2m
Neutral,I'm moving to East Palo Alto!
Positive,@ atebits I just finished watching your Stanford iPhone Class session. I really appreciate it. You Rock!
Positive,@jktweet Hi! Just saw your Stanford talk and really liked your advice. Just saying Hi from Singapore (yes the videos do get around)
Neutral,#MBA Admissions Tips Stanford GSB Deadlines and Essay Topics 2009-2010 http://tinyurl.com/pet4fd
Neutral,Ethics and nonprofits - http://bit.ly/qsXRp  #stanford #socialentrepreneurship
Positive,LAKERS tonight let's go!!!!
Negative,Will the Lakers kick the Nuggets ass tonight?
Neutral,Oooooooh... North Korea is in troubleeeee! http://bit.ly/19epAH
Neutral,Wat the heck is North Korea doing!!??!! They just conducted powerful nuclear tests! Follow the link: http://www.msnbc.msn.com/id/30921379
Neutral,Listening to Obama... Friggin North Korea...
Neutral,I just realized we three monkeys in the white Obama.Biden,Pelosi . Sarah Palin 2012
Neutral,@foxnews Pelosi should stay in China and never come back.
Negative,Nancy Pelosi gave the worst commencement speech I've ever heard. Yes I'm still bitter about this
Negative,ugh. the amount of times these stupid insects have bitten me. Grr..
Neutral,Prettiest insects EVER - Pink Katydids: http://bit.ly/2Upw2p
Neutral,Just got barraged by a horde of insects hungry for my kitchen light. So scary.
Positive,Just had McDonalds for dinner. :D It was goooood. Big Mac Meal. ;)
Positive,AHH YES LOL IMA TELL MY HUBBY TO GO GET ME SUM MCDONALDS =]
Positive,Stopped to have lunch at McDonalds. Chicken Nuggetssss! :) yummmmmy.
Neutral,Could go for a lot of McDonalds. i mean A LOT.
Positive,my exam went good. @HelloLeonie: your prayers worked (:
Positive,Only one exam left, and i am so happy for it :D
Negative,Math review. Im going to fail the exam.
Positive,Colin Powell rocked yesterday on CBS. Cheney needs to shut the hell up and go home.Powell is a man of Honor and served our country proudly
Negative,obviously not siding with Cheney here: http://bit.ly/19j2d
Positive,Absolutely hilarious!!! from @mashable:  http://bit.ly/bccWt
Positive,@mashable I never did thank you for including me in your Top 100 Twitter Authors! You Rock! (&amp; I New Wave :-D) http://bit.ly/EOrFV
Neutral,Learning jQuery 1.3 Book Review - http://cfbloggers.org/?c=30629
Positive,RT @shrop: Awesome JQuery reference book for Coda! http://www.macpeeps.com/coda/ #webdesign
Positive,I've been sending e-mails like crazy today to my contacts...does anyone have a contact at Goodby SIlverstein...I'd love to speak to them
Neutral,Adobe CS4 commercial by Goodby Silverstein: http://bit.ly/1aikhF
Positive,Goodby, Silverstein's new site... http://www.goodbysilverstein.com/ I enjoy it.
Neutral,Wow everyone at the Google I/O conference got free G2's with a month of unlimited service
Neutral,@vkerkez dood I got a free google android phone at the I/O conference. The G2!
Positive,@Orli the G2 is amazing btw, a HUGE improvement over the G1
Positive,HTML 5 Demos! Lots of great stuff to come! Yes, I'm excited. :) http://htmlfive.appspot.com #io2009 #googleio
Positive,@googleio http://twitpic.com/62shi - Yay! Happy place! Place place!  I love Google!
Positive,#GoogleIO | O3D - Bringing 3d graphics to the browser. Very nice tbh. Funfun.
Positive,Awesome viral marketing for "Funny People" http://www.nbc.com/yo-teach/
